trial,value,params
88,9.174554018185326,"{'alpha': 0.0119175309352622, 'l1_ratio': 0.8448591357491958}"
89,9.176774426965142,"{'alpha': 0.011393833981221636, 'l1_ratio': 0.7316945377783475}"
90,9.190951047441834,"{'alpha': 0.010935835200483895, 'l1_ratio': 0.11505021108039437}"
91,9.17627413922163,"{'alpha': 0.010087394854025801, 'l1_ratio': 0.7153366114849885}"
92,9.182073123676576,"{'alpha': 0.023883283027966294, 'l1_ratio': 0.8014555226907341}"
93,9.18899136228561,"{'alpha': 0.026270826901371683, 'l1_ratio': 0.7126591368785575}"
94,9.18232256821234,"{'alpha': 0.0237786070373036, 'l1_ratio': 0.7957415190050398}"
95,9.181339687647341,"{'alpha': 0.023503991360506137, 'l1_ratio': 0.8107840805723014}"
96,9.17567499479092,"{'alpha': 0.01519660553361257, 'l1_ratio': 0.849054170592519}"
97,9.176571131976653,"{'alpha': 0.014860592091146369, 'l1_ratio': 0.8135828468419958}"
98,9.177526711664651,"{'alpha': 0.019787079139318337, 'l1_ratio': 0.8506192282126809}"
99,9.17750607406445,"{'alpha': 0.019497410771765363, 'l1_ratio': 0.8480265713356924}"
100,9.181091047530062,"{'alpha': 0.019500642403398532, 'l1_ratio': 0.7642358145114629}"
101,9.180973790920412,"{'alpha': 0.019340367816521622, 'l1_ratio': 0.7644273505746979}"
102,9.189165068308132,"{'alpha': 0.03101556585672287, 'l1_ratio': 0.7665338287155673}"
103,9.1895044410415,"{'alpha': 0.030679424311645966, 'l1_ratio': 0.758376621556106}"
104,9.174535819171515,"{'alpha': 0.011381695468085354, 'l1_ratio': 0.8360904842807274}"
105,9.174717787450698,"{'alpha': 0.011720594406983968, 'l1_ratio': 0.8333512701847104}"
106,9.174758409754237,"{'alpha': 0.011855923914846682, 'l1_ratio': 0.8339340955038899}"
107,9.173832282837283,"{'alpha': 0.011891431430448254, 'l1_ratio': 0.8815197675609965}"
108,9.174888866468486,"{'alpha': 0.011870082874076177, 'l1_ratio': 0.8279864085833831}"
109,9.173508003318744,"{'alpha': 0.010250339000655079, 'l1_ratio': 0.875560831479123}"
110,9.175198481679216,"{'alpha': 0.01633406841005361, 'l1_ratio': 0.8789266381784567}"
111,9.17515267531861,"{'alpha': 0.016279376004751742, 'l1_ratio': 0.8798322843475264}"
112,9.17506853527883,"{'alpha': 0.01662102654264134, 'l1_ratio': 0.8862160105011169}"
113,9.175053433498382,"{'alpha': 0.01660581998135344, 'l1_ratio': 0.8865622834640596}"
114,9.17446886522101,"{'alpha': 0.014172131804667549, 'l1_ratio': 0.881322166804411}"
115,9.173374984437833,"{'alpha': 0.010241331727160925, 'l1_ratio': 0.8845057521629481}"
116,9.173466720860043,"{'alpha': 0.010438025925802475, 'l1_ratio': 0.8814002721111643}"
117,9.173753202176218,"{'alpha': 0.010147361159147057, 'l1_ratio': 0.8575413800799625}"
118,9.173681323051717,"{'alpha': 0.010025277335941848, 'l1_ratio': 0.859968854946885}"
119,9.173699058093375,"{'alpha': 0.01003892771382223, 'l1_ratio': 0.8590353795756964}"
120,9.17360097079019,"{'alpha': 0.010066620839352058, 'l1_ratio': 0.866065407622958}"
