trial,value,params
86,8.892165974356868,"{'alpha': 13.562192551926126, 'fit_intercept': True, 'solver': 'auto'}"
87,8.892123391134406,"{'alpha': 28.616057594831975, 'fit_intercept': True, 'solver': 'sag'}"
88,8.892123391134406,"{'alpha': 23.52004078470049, 'fit_intercept': True, 'solver': 'sag'}"
89,8.892123391134406,"{'alpha': 24.585961297385115, 'fit_intercept': True, 'solver': 'sag'}"
90,8.892123391134406,"{'alpha': 28.429699718794616, 'fit_intercept': True, 'solver': 'sag'}"
91,8.892123391134406,"{'alpha': 24.42461562577452, 'fit_intercept': True, 'solver': 'sag'}"
92,8.892123391134406,"{'alpha': 5.440992190506942, 'fit_intercept': True, 'solver': 'sag'}"
93,8.892123391134406,"{'alpha': 57.901366445336365, 'fit_intercept': True, 'solver': 'sag'}"
94,8.892123391134406,"{'alpha': 22.710200962269447, 'fit_intercept': True, 'solver': 'sag'}"
95,8.892123391134406,"{'alpha': 57.059432237248366, 'fit_intercept': True, 'solver': 'sag'}"
96,8.892123391134406,"{'alpha': 56.31788261084389, 'fit_intercept': True, 'solver': 'sag'}"
97,8.893117654675635,"{'alpha': 5.928151794632802, 'fit_intercept': True, 'solver': 'lsqr'}"
98,8.892123391134406,"{'alpha': 52.37523801321318, 'fit_intercept': True, 'solver': 'sag'}"
99,8.892123391134406,"{'alpha': 4.962607646226866, 'fit_intercept': True, 'solver': 'sag'}"
100,8.892123391134406,"{'alpha': 49.6554958993258, 'fit_intercept': True, 'solver': 'sag'}"
101,8.892123391134406,"{'alpha': 52.12892850032597, 'fit_intercept': True, 'solver': 'sag'}"
102,8.89275804804916,"{'alpha': 53.87067196508454, 'fit_intercept': False, 'solver': 'sag'}"
103,8.931239773598737,"{'alpha': 187.3556911645614, 'fit_intercept': False, 'solver': 'sparse_cg'}"
104,8.892123391134406,"{'alpha': 112.93699944834741, 'fit_intercept': True, 'solver': 'sag'}"
105,8.892123391134406,"{'alpha': 0.013570578542957805, 'fit_intercept': True, 'solver': 'sag'}"
106,8.892166370258552,"{'alpha': 0.08663053521756568, 'fit_intercept': True, 'solver': 'cholesky'}"
107,8.892165346248717,"{'alpha': 94.85388171618861, 'fit_intercept': True, 'solver': 'cholesky'}"
108,8.892123391134406,"{'alpha': 1.7429845948107838, 'fit_intercept': True, 'solver': 'sag'}"
109,8.892123391134406,"{'alpha': 2.074942472477811, 'fit_intercept': True, 'solver': 'sag'}"
110,8.892123391134406,"{'alpha': 1.783610191095151, 'fit_intercept': True, 'solver': 'sag'}"
